# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-text-decor_text-emphasis-position-property-005e_html | POLLUTED | 0.35% | 1.12% |
| css_css-text-decor_text-emphasis-position-property-005f_html | POLLUTED | 0.35% | 1.12% |
| css_css-text-decor_text-emphasis-position-property-005g_html | POLLUTED | 0.35% | 1.12% |
| css_css-text-decor_text-emphasis-position-property-006_html | POLLUTED | 0.25% | 1.02% |
| css_css-text-decor_text-emphasis-position-property-006a_html | POLLUTED | 0.25% | 1.02% |
| css_css-text-decor_text-emphasis-position-property-006b_html | POLLUTED | 0.25% | 1.02% |
| css_css-text-decor_text-emphasis-position-property-006c_html | POLLUTED | 0.25% | 1.02% |
| css_css-text-decor_text-emphasis-position-property-006d_html | POLLUTED | 0.35% | 1.09% |
| css_css-text-decor_text-emphasis-position-property-006e_html | POLLUTED | 0.35% | 1.09% |
| css_css-text-decor_text-emphasis-position-property-006f_html | POLLUTED | 0.35% | 1.09% |
| css_css-text-decor_text-emphasis-position-property-006g_html | POLLUTED | 0.35% | 1.09% |
| css_css-text-decor_text-emphasis-position-under-left-001_xht | self-fail | 3.92% | 3.47% |
| css_css-text-decor_text-emphasis-position-under-left-002_xht | self-fail | 1.16% | 3.40% |
| css_css-text-decor_text-emphasis-position-under-right-001_xht | self-fail | 3.92% | 3.47% |
| css_css-text-decor_text-emphasis-position-under-right-002_xht | self-fail | 1.16% | 3.38% |
| css_css-text-decor_text-emphasis-property-001_html | POLLUTED | 0.00% | 1.06% |
| css_css-text-decor_text-emphasis-property-002_html | self-pass | 0.24% | 0.90% |
| css_css-text-decor_text-emphasis-property-003_html | self-pass | 0.34% | 0.95% |
| css_css-text-decor_text-emphasis-property-003a_html | self-pass | 0.34% | 0.92% |
| css_css-text-decor_text-emphasis-property-003b_html | self-pass | 0.34% | 0.95% |
| css_css-text-decor_text-emphasis-property-004_html | POLLUTED | 0.34% | 1.05% |
| css_css-text-decor_text-emphasis-property-004a_html | POLLUTED | 0.34% | 1.05% |
| css_css-text-decor_text-emphasis-punctuation-1_html | self-fail | 1.82% | 10.19% |
| css_css-text-decor_text-emphasis-punctuation-2_html | self-fail | 2.15% | 5.37% |
| css_css-text-decor_text-emphasis-punctuation-3_html | self-fail | 0.67% | 1.32% |
| css_css-text-decor_text-emphasis-ruby-001_html | self-fail | 0.68% | 1.26% |
| css_css-text-decor_text-emphasis-ruby-002_html | self-fail | 0.68% | 1.27% |
| css_css-text-decor_text-emphasis-ruby-003_html | self-fail | 0.83% | 1.26% |
| css_css-text-decor_text-emphasis-ruby-003a_html | self-fail | 0.85% | 1.26% |
| css_css-text-decor_text-emphasis-ruby-004_html | self-fail | 0.83% | 1.26% |
| css_css-text-decor_text-emphasis-ruby-004a_html | self-fail | 0.85% | 1.24% |
| css_css-text-decor_text-emphasis-style-001_html | POLLUTED | 0.00% | 1.06% |
| css_css-text-decor_text-emphasis-style-002_html | POLLUTED | 0.45% | 1.39% |
| css_css-text-decor_text-emphasis-style-007_html | self-fail | 0.63% | 1.58% |
| css_css-text-decor_text-emphasis-style-008_html | self-fail | 0.68% | 1.34% |
| css_css-text-decor_text-emphasis-style-010_html | self-fail | 0.54% | 1.21% |
| css_css-text-decor_text-emphasis-style-012_html | POLLUTED | 0.43% | 1.39% |
| css_css-text-decor_text-emphasis-style-016_html | POLLUTED | 0.45% | 1.39% |
| css_css-text-decor_text-emphasis-style-021_html | POLLUTED | 0.44% | 1.28% |
| css_css-text-decor_text-emphasis-style-filled-001_xht | self-fail | 1.18% | 4.81% |
| css_css-text-decor_text-emphasis-style-none-001_xht | self-fail | 0.80% | 2.33% |
| css_css-text-decor_text-emphasis-style-open-001_xht | self-fail | 1.21% | 4.51% |
| css_css-text-decor_text-emphasis-style-property-001_html | POLLUTED | 0.00% | 1.06% |
| css_css-text-decor_text-emphasis-style-property-002_html | self-pass | 0.24% | 0.90% |
| css_css-text-decor_text-emphasis-style-property-003_html | self-pass | 0.19% | 0.84% |
| css_css-text-decor_text-emphasis-style-property-004_html | self-pass | 0.18% | 0.84% |
| css_css-text-decor_text-emphasis-style-property-005_html | self-pass | 0.18% | 0.73% |
| css_css-text-decor_text-emphasis-style-property-005a_html | self-pass | 0.29% | 0.83% |
| css_css-text-decor_text-emphasis-style-property-010Cc_html | self-pass | 0.00% | 0.59% |
| css_css-text-decor_text-emphasis-style-property-010Cf_html | self-pass | 0.00% | 0.59% |
| css_css-text-decor_text-emphasis-style-property-010Cn_html | self-pass | 0.00% | 0.59% |
| css_css-text-decor_text-emphasis-style-property-010Zl_html | self-pass | 0.00% | 0.59% |
| css_css-text-decor_text-emphasis-style-property-010Zp_html | self-pass | 0.00% | 0.59% |
| css_css-text-decor_text-emphasis-style-property-010Zs_html | self-pass | 0.00% | 0.59% |
| css_css-text-decor_text-emphasis-style-property-011_html | self-pass | 0.25% | 0.89% |
| css_css-text-decor_text-emphasis-style-property-011a_html | self-pass | 0.25% | 0.89% |
| css_css-text-decor_text-emphasis-style-property-011b_html | self-pass | 0.25% | 0.89% |
| css_css-text-decor_text-emphasis-style-property-012_html | self-pass | 0.34% | 0.95% |
| css_css-text-decor_text-emphasis-style-property-012a_html | self-pass | 0.34% | 0.95% |
| css_css-text-decor_text-emphasis-style-property-012b_html | self-pass | 0.34% | 0.95% |
| css_css-text-decor_text-emphasis-style-property-012c_html | self-pass | 0.34% | 0.92% |
| css_css-text-decor_text-emphasis-style-property-013_html | self-pass | 0.33% | 0.89% |
| css_css-text-decor_text-emphasis-style-property-013a_html | self-pass | 0.33% | 0.89% |
| css_css-text-decor_text-emphasis-style-property-013b_html | self-pass | 0.33% | 0.89% |
| css_css-text-decor_text-emphasis-style-property-014_html | self-pass | 0.30% | 0.93% |
| css_css-text-decor_text-emphasis-style-property-014a_html | self-pass | 0.30% | 0.93% |
| css_css-text-decor_text-emphasis-style-property-014b_html | self-pass | 0.30% | 0.93% |
| css_css-text-decor_text-emphasis-style-property-015_html | self-pass | 0.27% | 0.84% |
| css_css-text-decor_text-emphasis-style-property-015a_html | self-pass | 0.27% | 0.84% |
| css_css-text-decor_text-emphasis-style-property-015b_html | self-pass | 0.27% | 0.84% |
| css_css-text-decor_text-emphasis-style-property-016_html | self-pass | 0.24% | 0.89% |
| css_css-text-decor_text-emphasis-style-property-016a_html | self-pass | 0.24% | 0.89% |
| css_css-text-decor_text-emphasis-style-property-017_html | self-pass | 0.27% | 0.91% |
| css_css-text-decor_text-emphasis-style-property-017a_html | self-pass | 0.27% | 0.91% |
| css_css-text-decor_text-emphasis-style-property-017b_html | self-pass | 0.27% | 0.90% |
| css_css-text-decor_text-emphasis-style-property-018_html | self-pass | 0.30% | 0.88% |
| css_css-text-decor_text-emphasis-style-property-018a_html | self-pass | 0.30% | 0.88% |
| css_css-text-decor_text-emphasis-style-property-019_html | self-pass | 0.27% | 0.85% |
| css_css-text-decor_text-emphasis-style-property-019a_html | self-pass | 0.27% | 0.85% |
| css_css-text-decor_text-emphasis-style-property-020_html | self-pass | 0.26% | 0.83% |
| css_css-text-decor_text-emphasis-style-property-020a_html | self-pass | 0.26% | 0.83% |
| css_css-text-decor_text-emphasis-style-shape-001_xht | self-fail | 1.13% | 4.53% |
| css_css-text-decor_text-emphasis-style-string-001_xht | self-fail | 0.71% | 2.44% |
| css_css-text-decor_text-underline-offset-002_html | POLLUTED | 0.00% | 1.13% |
| css_css-text-decor_text-underline-offset-calc_html | POLLUTED | 0.09% | 1.47% |
| css_css-text-decor_text-underline-offset-overline-vertical_html | POLLUTED | 0.00% | 1.11% |
| css_css-text-decor_text-underline-offset-overline_html | POLLUTED | 0.00% | 1.14% |
| css_css-text-decor_text-underline-offset-percentage_html | POLLUTED | 0.00% | 1.43% |
| css_css-text-decor_text-underline-offset-variable_html | POLLUTED | 0.00% | 2.13% |
| css_css-text-decor_text-underline-offset-vertical-001_html | POLLUTED | 0.00% | 1.02% |
| css_css-text-decor_text-underline-offset-vertical-002_html | self-pass | 0.04% | 0.95% |
| css_css-text-decor_text-underline-offset-vertical-003_html | POLLUTED | 0.00% | 1.23% |
| css_css-text-decor_text-underline-offset-zero-position_html | POLLUTED | 0.00% | 7.77% |
| css_css-text-decor_text-underline-position-001a_html | POLLUTED | 0.00% | 2.80% |
| css_css-text-decor_text-underline-position-001b_html | POLLUTED | 0.00% | 2.80% |
| css_css-text-decor_text-underline-position-auto-001_html | self-pass | 0.00% | 0.57% |
| css_css-text-decor_text-underline-position-from-font-variable_html | POLLUTED | 0.00% | 3.73% |
| css_css-text-decor_text-underline-position-horizontal_html | POLLUTED | 0.00% | 2.17% |
| css_css-text-decor_text-underline-position-vertical-ja_html | POLLUTED | 0.01% | 1.84% |
| css_css-text-decor_text-underline-position-vertical_html | self-pass | 0.00% | 0.19% |

## 汇总
- 对比用例数: 242
- 同源通过（ZeroWeb vs ref）: 184
- **污染（同源通过但 chromium 不一致）: 116**
- 污染率（占同源通过）: 63.0%

## 按目录分解
| 目录 | 对比 | 同源通过 | 污染 | 污染率 |
|------|------|---------|------|--------|
| css/css-text-decor | 242 | 184 | 116 | 63% |

⚠️ 污染 = 被 ZeroWeb 判为通过、但与 chromium 独立 Oracle 不一致的用例。
   这是同源通过率里水分的上界估计（chan>5, Oracle>1.0%）。
