# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-fonts_font-variant-01_html | self-fail | 0.92% | 4.79% |
| css_css-fonts_font-variant-02_html | self-fail | 0.68% | 4.83% |
| css_css-fonts_font-variant-03_html | self-fail | 1.34% | 3.95% |
| css_css-fonts_font-variant-04_html | self-fail | 1.34% | 3.95% |
| css_css-fonts_font-variant-alternates-01_html | POLLUTED | 0.00% | 4.90% |
| css_css-fonts_font-variant-alternates-02_html | POLLUTED | 0.05% | 5.27% |
| css_css-fonts_font-variant-alternates-03_html | POLLUTED | 0.04% | 5.33% |
| css_css-fonts_font-variant-alternates-04_html | POLLUTED | 0.04% | 5.36% |
| css_css-fonts_font-variant-alternates-05_html | POLLUTED | 0.04% | 5.37% |
| css_css-fonts_font-variant-alternates-06_html | POLLUTED | 0.04% | 5.35% |
| css_css-fonts_font-variant-alternates-07_html | POLLUTED | 0.04% | 5.39% |
| css_css-fonts_font-variant-alternates-08_html | POLLUTED | 0.04% | 5.32% |
| css_css-fonts_font-variant-alternates-09_html | POLLUTED | 0.04% | 5.35% |
| css_css-fonts_font-variant-alternates-10_html | POLLUTED | 0.04% | 5.37% |
| css_css-fonts_font-variant-alternates-11_html | POLLUTED | 0.04% | 5.56% |
| css_css-fonts_font-variant-alternates-12_html | POLLUTED | 0.09% | 5.55% |
| css_css-fonts_font-variant-alternates-13_html | POLLUTED | 0.09% | 5.56% |
| css_css-fonts_font-variant-alternates-14_html | POLLUTED | 0.09% | 5.56% |
| css_css-fonts_font-variant-alternates-15_html | POLLUTED | 0.04% | 5.37% |
| css_css-fonts_font-variant-alternates-16_html | POLLUTED | 0.04% | 5.38% |
| css_css-fonts_font-variant-alternates-17_html | POLLUTED | 0.04% | 5.35% |
| css_css-fonts_font-variant-alternates-18_html | POLLUTED | 0.04% | 5.40% |
| css_css-fonts_font-variant-alternates-19_html | POLLUTED | 0.16% | 5.20% |
| css_css-fonts_font-variant-alternates-layers_html | POLLUTED | 0.09% | 5.56% |
| css_css-fonts_font-variant-caps-01_html | POLLUTED | 0.00% | 3.12% |
| css_css-fonts_font-variant-caps-02_html | POLLUTED | 0.05% | 3.19% |
| css_css-fonts_font-variant-caps-03_html | POLLUTED | 0.08% | 3.02% |
| css_css-fonts_font-variant-caps-04_html | POLLUTED | 0.04% | 3.45% |
| css_css-fonts_font-variant-caps-05_html | POLLUTED | 0.08% | 3.26% |
| css_css-fonts_font-variant-caps-06_html | POLLUTED | 0.04% | 3.43% |
| css_css-fonts_font-variant-caps-07_html | POLLUTED | 0.04% | 3.34% |
| css_css-fonts_font-variant-caps-invalidation-container-sizing_html | self-pass | 0.00% | 0.24% |
| css_css-fonts_font-variant-caps_html | self-pass | 0.00% | 0.00% |
| css_css-fonts_font-variant-east-asian-01_html | POLLUTED | 0.00% | 4.20% |
| css_css-fonts_font-variant-east-asian-02_html | POLLUTED | 0.05% | 4.23% |
| css_css-fonts_font-variant-east-asian-03_html | POLLUTED | 0.04% | 4.47% |
| css_css-fonts_font-variant-east-asian-04_html | POLLUTED | 0.04% | 4.44% |
