# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /tmp/oracle-shots-all
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-flexbox_flexbox-baseline-multi-line-vert-001_html | self-fail | 0.62% | 0.54% |
| css_css-flexbox_flexbox-baseline-multi-line-vert-002_html | self-fail | 0.54% | 0.47% |
| css_css-flexbox_flexbox-baseline-nested-001_html | self-pass | 0.00% | 0.24% |
| css_css-flexbox_flexbox-collapsed-item-baseline-001_html | self-pass | 0.02% | 0.51% |
| css_css-flexbox_flexbox-collapsed-item-horiz-001_html | POLLUTED | 0.00% | 20.53% |
| css_css-flexbox_flexbox-collapsed-item-horiz-002_html | POLLUTED | 0.29% | 4.33% |
| css_css-flexbox_flexbox-collapsed-item-horiz-003_html | self-pass | 0.08% | 0.14% |
| css_css-flexbox_flexbox-column-row-gap-001_html | self-fail | 0.97% | 1.20% |
| css_css-flexbox_flexbox-column-row-gap-002_html | POLLUTED | 0.25% | 3.02% |
| css_css-flexbox_flexbox-column-row-gap-003_html | self-pass | 0.00% | 0.99% |
| css_css-flexbox_flexbox-column-row-gap-004_html | self-fail | 3.90% | 4.33% |
| css_css-flexbox_flexbox-definite-cross-size-constrained-percentage_html | self-pass | 0.13% | 0.13% |
| css_css-flexbox_flexbox-definite-sizes-001_html | self-pass | 0.00% | 0.95% |
| css_css-fonts_alternates-order_html | POLLUTED | 0.00% | 6.30% |
| css_css-fonts_ascent-descent-override_html | self-pass | 0.23% | 0.17% |
| css_css-fonts_downloadable-font-in-iframe-print_html | self-pass | 0.00% | 0.01% |
| css_css-fonts_downloadable-font-print_html | self-pass | 0.02% | 0.03% |
| css_css-fonts_downloadable-font-scoped-to-document_html | POLLUTED | 0.00% | 20.22% |
| css_css-fonts_first-available-font-001_html | POLLUTED | 0.00% | 3.01% |
| css_css-fonts_first-available-font-002_html | POLLUTED | 0.00% | 1.12% |
| css_css-fonts_first-available-font-003_html | POLLUTED | 0.00% | 1.05% |
| css_css-fonts_first-available-font-005_html | self-pass | 0.00% | 0.52% |
| css_css-fonts_font-colorization_html | self-pass | 0.05% | 0.29% |
| css_css-fonts_font-default-01_html | POLLUTED | 0.12% | 2.58% |
| css_css-fonts_font-default-02_html | POLLUTED | 0.23% | 3.46% |
| css_css-fonts_font-default-03_html | POLLUTED | 0.00% | 3.46% |
| css_css-fonts_font-face-local-not-family_html | POLLUTED | 0.00% | 1.45% |
| css_css-fonts_font-face-stretch-auto-static_html | self-pass | 0.00% | 0.19% |
| css_css-fonts_font-face-stretch-auto-variable_html | POLLUTED | 0.00% | 1.04% |
| css_css-fonts_font-face-stretch-default-variable_html | self-pass | 0.00% | 0.55% |
| css_css-fonts_font-face-style-auto-static_html | self-pass | 0.00% | 0.19% |
| css_css-fonts_font-face-style-auto-variable_html | self-pass | 0.00% | 0.55% |
| css_css-fonts_font-face-style-default-variable_html | self-pass | 0.00% | 0.37% |
| css_css-fonts_font-face-unicode-range-2_html | self-fail | 1.70% | 5.13% |
| css_css-fonts_font-face-unicode-range-nbsp_html | POLLUTED | 0.30% | 1.18% |
| css_css-fonts_font-face-weight-auto-static_html | self-pass | 0.00% | 0.25% |
| css_css-fonts_font-face-weight-auto-variable_html | POLLUTED | 0.00% | 1.10% |
| css_css-fonts_font-face-weight-default-variable_html | self-pass | 0.00% | 0.62% |
| css_css-fonts_font-family-name-016_xht | POLLUTED | 0.00% | 2.64% |
| css_css-fonts_font-family-name-022_xht | POLLUTED | 0.00% | 2.80% |
| css_css-fonts_font-family-name-023_xht | POLLUTED | 0.00% | 3.17% |
| css_css-fonts_font-family-name-024_xht | POLLUTED | 0.20% | 3.65% |
| css_css-fonts_font-family-name-025_html | POLLUTED | 0.00% | 7.13% |
| css_css-fonts_font-feature-resolution-001_html | self-fail | 1.49% | 9.34% |
| css_css-fonts_font-feature-resolution-002_html | self-fail | 3.00% | 14.86% |
| css_css-fonts_font-feature-settings-descriptor-01_html | POLLUTED | 0.30% | 2.30% |
| css_css-fonts_font-feature-settings-descriptor-02_html | POLLUTED | 0.00% | 2.17% |
| css_css-fonts_font-feature-settings-descriptor-binary_html | POLLUTED | 0.00% | 2.81% |
| css_css-fonts_font-feature-settings-tibetan_html | self-pass | 0.00% | 0.80% |
| css_css-fonts_font-features-across-space-1_html | POLLUTED | 0.29% | 2.68% |
| css_css-fonts_font-kerning-01_html | self-pass | 0.00% | 0.73% |
| css_css-fonts_font-kerning-02_html | POLLUTED | 0.08% | 1.55% |
| css_css-fonts_font-kerning-03_html | POLLUTED | 0.08% | 1.79% |
| css_css-fonts_font-kerning-04_html | POLLUTED | 0.08% | 1.35% |
| css_css-fonts_font-kerning-05_html | POLLUTED | 0.08% | 1.48% |
| css_css-fonts_font-language-override-01_html | self-pass | 0.00% | 0.92% |
| css_css-fonts_font-palette-10_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-11_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-12_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-14_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-15_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-20_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-21_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-23_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-24_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-25_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-26_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-27_html | self-pass | 0.00% | 0.09% |
| css_css-fonts_font-palette-2_html | self-pass | 0.00% | 0.09% |
| css_css-grid_anonymous-grid-items-002_html | POLLUTED | 0.00% | 1.18% |
| css_css-grid_child-border-box-and-max-content-001_html | self-fail | 1.52% | 2.12% |
| css_css-grid_child-border-box-and-max-content-002_html | self-fail | 1.52% | 2.12% |
| css_css-grid_firefox-bug-1881495_html | self-fail | 1.74% | 2.61% |
| css_css-grid_grid-calc-margin_html | POLLUTED | 0.00% | 4.17% |
| css_css-grid_grid-child-percent-basis-resize-1_html | self-pass | 0.00% | 0.10% |
| css_css-grid_grid-flex-spanning-items-001_html | POLLUTED | 0.19% | 1.48% |
| css_css-grid_grid-relayout-with-nested-grid_html | self-pass | 0.00% | 0.54% |
| css_css-grid_min-size-auto-overflow-clip_html | self-pass | 0.00% | 0.34% |
| css_css-grid_nested-grid-item-block-size-001_html | self-pass | 0.00% | 0.47% |
| css_css-grid_stretch-grid-item-button-overflow_html | POLLUTED | 0.05% | 8.15% |
| css_css-grid_stretch-grid-item-checkbox-input_html | self-pass | 0.00% | 0.04% |
| css_css-grid_stretch-grid-item-radio-input_html | self-pass | 0.00% | 0.05% |
| css_css-grid_stretch-grid-item-text-input-overflow_html | POLLUTED | 0.12% | 3.10% |
| css_css-grid_table-grid-item-dynamic-001_html | POLLUTED | 0.00% | 1.43% |
| css_css-grid_table-grid-item-dynamic-003_html | POLLUTED | 0.00% | 23.79% |
| css_css-grid_table-grid-item-dynamic-004_html | POLLUTED | 0.00% | 2.98% |
| css_css-multicol_abspos-containing-block-outside-spanner_html | self-fail | 4.31% | 6.51% |
| css_css-multicol_auto-fill-auto-size-001-print_html | self-pass | 0.00% | 0.25% |
| css_css-multicol_auto-fill-auto-size-002-print_html | self-pass | 0.00% | 0.21% |
| css_css-multicol_balance-grid-container_html | POLLUTED | 0.17% | 1.76% |
| css_css-multicol_baseline-000_html | POLLUTED | 0.14% | 1.13% |
| css_css-multicol_baseline-001_html | self-fail | 0.52% | 1.10% |
| css_css-multicol_baseline-002_html | self-pass | 0.00% | 0.59% |
| css_css-multicol_baseline-003_html | POLLUTED | 0.12% | 1.12% |
| css_css-multicol_baseline-004_html | POLLUTED | 0.12% | 1.14% |
| css_css-multicol_baseline-005_html | POLLUTED | 0.12% | 1.12% |
| css_css-multicol_baseline-006_html | POLLUTED | 0.14% | 1.14% |
| css_css-multicol_baseline-007_html | self-fail | 1.04% | 1.63% |
