# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-text_i18n_css3-text-line-break-opclns-164_html | self-fail | 0.66% | 1.56% |
| css_css-text_i18n_css3-text-line-break-opclns-165_html | self-fail | 0.66% | 1.56% |
| css_css-text_i18n_css3-text-line-break-opclns-166_html | self-fail | 0.67% | 1.56% |
| css_css-text_i18n_css3-text-line-break-opclns-167_html | self-fail | 0.62% | 1.71% |
| css_css-text_i18n_css3-text-line-break-opclns-168_html | self-fail | 0.63% | 1.71% |
| css_css-text_i18n_css3-text-line-break-opclns-169_html | self-fail | 0.62% | 1.70% |
| css_css-text_i18n_css3-text-line-break-opclns-170_html | self-fail | 0.65% | 1.75% |
| css_css-text_i18n_css3-text-line-break-opclns-171_html | self-fail | 0.60% | 1.69% |
| css_css-text_i18n_css3-text-line-break-opclns-200_html | self-fail | 0.65% | 1.59% |
| css_css-text_i18n_css3-text-line-break-opclns-201_html | self-fail | 0.66% | 1.66% |
| css_css-text_i18n_css3-text-line-break-opclns-202_html | self-fail | 0.65% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-203_html | self-fail | 0.65% | 1.58% |
| css_css-text_i18n_css3-text-line-break-opclns-204_html | self-fail | 0.65% | 1.74% |
| css_css-text_i18n_css3-text-line-break-opclns-205_html | self-fail | 0.69% | 1.61% |
| css_css-text_i18n_css3-text-line-break-opclns-206_html | self-fail | 0.63% | 1.76% |
| css_css-text_i18n_css3-text-line-break-opclns-207_html | self-fail | 0.61% | 1.71% |
| css_css-text_i18n_css3-text-line-break-opclns-208_html | self-fail | 0.68% | 1.80% |
| css_css-text_i18n_css3-text-line-break-opclns-209_html | self-fail | 0.63% | 1.74% |
| css_css-text_i18n_css3-text-line-break-opclns-210_html | self-fail | 0.59% | 1.67% |
| css_css-text_i18n_css3-text-line-break-opclns-211_html | self-fail | 0.59% | 1.67% |
| css_css-text_i18n_css3-text-line-break-opclns-212_html | self-fail | 0.61% | 1.70% |
| css_css-text_i18n_css3-text-line-break-opclns-213_html | self-fail | 0.61% | 1.72% |
| css_css-text_i18n_css3-text-line-break-opclns-214_html | self-fail | 0.60% | 1.66% |
| css_css-text_i18n_css3-text-line-break-opclns-215_html | self-fail | 0.60% | 1.67% |
| css_css-text_i18n_css3-text-line-break-opclns-217_html | self-fail | 0.60% | 1.68% |
| css_css-text_i18n_css3-text-line-break-opclns-218_html | self-fail | 0.61% | 1.70% |
| css_css-text_i18n_css3-text-line-break-opclns-219_html | self-fail | 0.66% | 1.55% |
| css_css-text_i18n_css3-text-line-break-opclns-220_html | self-fail | 0.66% | 1.55% |
| css_css-text_i18n_css3-text-line-break-opclns-221_html | self-fail | 0.59% | 1.67% |
| css_css-text_i18n_css3-text-line-break-opclns-222_html | self-fail | 0.61% | 1.69% |
| css_css-text_i18n_css3-text-line-break-opclns-223_html | self-fail | 0.59% | 1.66% |
| css_css-text_i18n_css3-text-line-break-opclns-225_html | self-fail | 0.59% | 1.66% |
| css_css-text_i18n_css3-text-line-break-opclns-226_html | self-fail | 0.59% | 1.67% |
| css_css-text_letter-spacing_letter-spacing-200_html | self-fail | 7.10% | 14.35% |
| css_css-text_letter-spacing_letter-spacing-201_html | self-fail | 4.22% | 10.13% |
| css_css-text_letter-spacing_letter-spacing-202_html | self-fail | 27.55% | 32.91% |
| css_css-text_letter-spacing_letter-spacing-203_html | self-fail | 12.30% | 13.96% |
| css_css-text_letter-spacing_letter-spacing-204_html | self-fail | 5.01% | 8.87% |
| css_css-text_letter-spacing_letter-spacing-205_html | POLLUTED | 0.08% | 1.79% |
| css_css-text_letter-spacing_letter-spacing-206_html | self-fail | 49.53% | 47.83% |
| css_css-text_letter-spacing_letter-spacing-211_html | POLLUTED | 0.33% | 1.54% |
| css_css-text_letter-spacing_letter-spacing-212_html | POLLUTED | 0.46% | 2.05% |
| css_css-text_letter-spacing_letter-spacing-animating-font-size_html | self-pass | 0.00% | 0.89% |
