# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: /home/lei/work/ZeroWeb/target/reftest-dump
# oracle: /home/lei/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_CSS2_backgrounds_background-190_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-194_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-195_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-196_xht | POLLUTED | 0.00% | 1.02% |
| css_CSS2_backgrounds_background-198_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-201_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-204_xht | self-pass | 0.00% | 0.74% |
| css_CSS2_backgrounds_background-326_xht | self-pass | 0.00% | 0.75% |
| css_CSS2_backgrounds_background-327_xht | self-pass | 0.00% | 0.75% |
| css_CSS2_backgrounds_background-328_xht | self-pass | 0.00% | 0.91% |
| css_CSS2_backgrounds_background-329_xht | POLLUTED | 0.00% | 1.07% |
| css_CSS2_backgrounds_background-applies-to-001_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-applies-to-002_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-applies-to-003_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-applies-to-004_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-applies-to-005_xht | self-fail | 0.76% | 1.40% |
| css_CSS2_backgrounds_background-applies-to-006_xht | self-fail | 1.58% | 2.25% |
| css_CSS2_backgrounds_background-applies-to-007_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-applies-to-009_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-applies-to-012_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-applies-to-013_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-applies-to-014_xht | self-fail | 1.39% | 1.78% |
| css_CSS2_backgrounds_background-applies-to-015_xht | self-pass | 0.00% | 0.66% |
| css_CSS2_backgrounds_background-attachment-009_xht | self-pass | 0.43% | 0.91% |
| css_CSS2_backgrounds_background-attachment-applies-to-001_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-attachment-applies-to-002_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-attachment-applies-to-003_xht | self-fail | 2.40% | 4.07% |
| css_CSS2_backgrounds_background-attachment-applies-to-004_xht | self-fail | 29.92% | 31.04% |
| css_CSS2_backgrounds_background-attachment-applies-to-005_xht | POLLUTED | 0.48% | 3.27% |
