# 交叉验证：ZeroWeb 同源 vs chromium Oracle（DC-14）
# dump: $HOME/work/ZeroWeb/target/reftest-dump
# oracle: $HOME/work/ZeroWeb/tests/wpt-runner/oracle-shots
# 阈值: chan>5, 同源通过<0.50%, Oracle不一致>1.00%

| safe_id | 判定 | z_vs_ref | z_vs_chr |
| css_css-flexbox_flex-minimum-width-flex-items-012_html | POLLUTED | 0.00% | 1.72% |
| css_css-flexbox_flex-minimum-width-flex-items-013_html | self-fail | 81.29% | 83.17% |
| css_css-flexbox_flex-minimum-width-flex-items-015_html | self-fail | 2.08% | 4.96% |
| css_css-flexbox_flex-minimum-width-flex-items-016_html | POLLUTED | 0.00% | 2.72% |
| css_css-flexbox_flex-order-last-baseline-multiple_html | POLLUTED | 0.33% | 2.59% |
| css_css-flexbox_flex-order-last-baseline_html | self-fail | 0.65% | 2.61% |
| css_css-flexbox_flex-order-wrap-reverse-baseline_html | POLLUTED | 0.00% | 1.95% |
| css_css-flexbox_flex-order_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flex-shrink-001_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-shrink-002_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-shrink-003_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-shrink-004_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-shrink-005_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-shrink-006_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-shrink-007_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-shrink-008_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-svg-no-intrinsic-column-001_html | self-fail | 4.69% | 5.32% |
| css_css-flexbox_flex-vertical-align-effect_html | self-pass | 0.00% | 0.13% |
| css_css-flexbox_flex-wrap-002_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-wrap-003_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-wrap-004_html | self-pass | 0.00% | 0.83% |
| css_css-flexbox_flex-wrap-005_html | self-fail | 0.52% | 1.35% |
| css_css-flexbox_flex-wrap-006_html | self-fail | 8.33% | 9.16% |
| css_css-flexbox_flexbox-align-items-center-nested-001_html | self-pass | 0.00% | 0.00% |
| css_css-flexbox_flexbox-align-self-baseline-compatability_html | self-fail | 2.08% | 2.87% |
| css_css-flexbox_flexbox-align-self-stretch-vert-001_html | self-pass | 0.00% | 0.10% |
| css_css-flexbox_flexbox-align-self-stretch-vert-002_html | self-pass | 0.04% | 0.03% |
| css_css-flexbox_flexbox-anonymous-items-001_html | self-pass | 0.08% | 0.15% |
| css_css-flexbox_flexbox-baseline-align-self-baseline-horiz-001_html | POLLUTED | 0.11% | 17.65% |
| css_css-flexbox_flexbox-baseline-align-self-baseline-vert-001_html | self-fail | 32.94% | 32.93% |
| css_css-flexbox_flexbox-baseline-empty-001a_html | POLLUTED | 0.47% | 1.08% |
| css_css-flexbox_flexbox-baseline-empty-001b_html | POLLUTED | 0.47% | 1.08% |
| css_css-flexbox_flexbox-baseline-multi-item-horiz-001a_html | self-fail | 0.87% | 6.64% |
| css_css-flexbox_flexbox-baseline-multi-item-horiz-001b_html | self-fail | 0.87% | 6.64% |
| css_css-flexbox_flexbox-baseline-multi-item-vert-001a_html | self-fail | 10.20% | 10.21% |
| css_css-flexbox_flexbox-baseline-multi-item-vert-001b_html | self-fail | 10.20% | 10.21% |
| css_css-flexbox_flexbox-baseline-multi-line-horiz-001_html | self-fail | 0.74% | 0.56% |
| css_css-flexbox_flexbox-baseline-multi-line-horiz-002_html | self-fail | 0.52% | 0.48% |
| css_css-flexbox_flexbox-baseline-multi-line-horiz-003_html | self-fail | 46.75% | 2.77% |
| css_css-flexbox_flexbox-baseline-multi-line-horiz-004_html | self-fail | 47.17% | 1.08% |
| css_css-flexbox_flexbox-baseline-multi-line-vert-001_html | self-fail | 0.61% | 0.54% |
| css_css-flexbox_flexbox-baseline-multi-line-vert-002_html | self-fail | 0.53% | 0.47% |
| css_css-flexbox_flexbox-baseline-nested-001_html | self-pass | 0.00% | 0.24% |
| css_css-flexbox_flexbox-baseline-single-item-001a_html | self-pass | 0.36% | 0.66% |
| css_css-flexbox_flexbox-baseline-single-item-001b_html | self-pass | 0.38% | 0.64% |
| css_css-flexbox_flexbox-break-request-horiz-001a_html | self-fail | 0.65% | 3.62% |
| css_css-flexbox_flexbox-break-request-horiz-001b_html | self-fail | 0.65% | 3.62% |
| css_css-flexbox_flexbox-break-request-horiz-002a_html | self-fail | 0.57% | 3.76% |
| css_css-flexbox_flexbox-break-request-horiz-002b_html | self-fail | 0.57% | 3.76% |
| css_css-flexbox_flexbox-break-request-vert-001a_html | POLLUTED | 0.12% | 5.24% |
| css_css-flexbox_flexbox-break-request-vert-001b_html | POLLUTED | 0.12% | 5.24% |
| css_css-flexbox_flexbox-break-request-vert-002a_html | POLLUTED | 0.00% | 5.86% |
| css_css-flexbox_flexbox-break-request-vert-002b_html | POLLUTED | 0.00% | 5.86% |
| css_css-flexbox_flexbox-collapsed-item-baseline-001_html | self-pass | 0.12% | 0.50% |
| css_css-flexbox_flexbox-collapsed-item-horiz-001_html | POLLUTED | 0.00% | 15.04% |
| css_css-flexbox_flexbox-collapsed-item-horiz-002_html | POLLUTED | 0.30% | 4.29% |
| css_css-flexbox_flexbox-collapsed-item-horiz-003_html | self-pass | 0.08% | 0.14% |
| css_css-flexbox_flexbox-column-row-gap-001_html | self-fail | 0.95% | 0.77% |
| css_css-flexbox_flexbox-column-row-gap-002_html | POLLUTED | 0.25% | 3.02% |
| css_css-flexbox_flexbox-column-row-gap-003_html | self-pass | 0.00% | 0.52% |
| css_css-flexbox_flexbox-column-row-gap-004_html | self-fail | 3.98% | 4.01% |
| css_css-flexbox_flexbox-definite-cross-size-constrained-percentage_html | self-fail | 0.62% | 0.62% |
| css_css-flexbox_flexbox-definite-sizes-001_html | self-pass | 0.00% | 0.95% |
| css_css-flexbox_flexbox-definite-sizes-002_html | self-pass | 0.00% | 0.95% |
